hours_per_week,age,marital_status_Divorced,marital_status_Married-AF-spouse,marital_status_Married-civ-spouse,marital_status_Married-spouse-absent,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,income_>50K
35,61,0,0,1,0,0,0,0,1
24,24,0,0,0,0,1,0,0,0
40,47,0,0,1,0,0,0,0,1
40,23,0,0,1,0,0,0,0,0
40,66,0,0,1,0,0,0,0,1
20,19,0,0,0,0,1,0,0,0
45,45,1,0,0,0,0,0,0,1
48,48,1,0,0,0,0,0,0,1
60,43,0,0,1,0,0,0,0,1
25,34,0,0,1,0,0,0,0,0
40,51,0,0,1,0,0,0,0,1
45,20,0,0,0,0,1,0,0,0
65,33,0,0,1,0,0,0,0,1
40,19,0,0,0,0,1,0,0,0
40,57,0,0,1,0,0,0,0,1
40,38,0,0,1,0,0,0,0,1
35,30,1,0,0,0,0,0,0,0
40,31,0,0,1,0,0,0,0,1
40,45,0,0,1,0,0,0,0,0
40,29,0,0,0,0,1,0,0,0
30,26,0,0,1,0,0,0,0,0
55,37,0,0,0,0,1,0,0,1
40,23,0,0,0,0,1,0,0,1
16,28,0,0,0,0,1,0,0,0
30,38,0,0,1,0,0,0,0,0
20,38,1,0,0,0,0,0,0,0
22,19,0,0,0,0,1,0,0,0
50,44,0,0,0,0,1,0,0,0
10,66,0,0,1,0,0,0,0,0
40,58,0,0,1,0,0,0,0,0
35,48,1,0,0,0,0,0,0,0
40,40,0,0,0,0,1,0,0,0
40,46,0,0,1,0,0,0,0,1
40,44,0,0,0,0,0,0,1,0
40,45,1,0,0,0,0,0,0,0
40,40,0,0,0,0,0,1,0,0
40,80,0,0,0,0,1,0,0,0
40,33,1,0,0,0,0,0,0,0
40,28,0,0,1,0,0,0,0,0
34,31,0,0,1,0,0,0,0,0
32,41,0,0,1,0,0,0,0,0
45,25,0,0,0,0,1,0,0,0
40,43,0,0,1,0,0,0,0,1
40,31,0,0,0,0,1,0,0,0
40,30,0,0,1,0,0,0,0,0
40,69,0,0,1,0,0,0,0,0
40,35,0,0,1,0,0,0,0,0
40,37,0,0,1,0,0,0,0,0
45,34,0,0,1,0,0,0,0,1
38,42,1,0,0,0,0,0,0,0
10,20,0,0,0,0,1,0,0,0
30,28,0,0,0,0,1,0,0,0
25,34,0,0,1,0,0,0,0,1
16,69,1,0,0,0,0,0,0,0
50,49,0,0,1,0,0,0,0,1
45,28,0,0,0,0,1,0,0,0
80,26,0,0,0,0,1,0,0,0
33,46,0,0,0,0,0,0,1,0
40,41,0,0,1,0,0,0,0,1
40,23,0,0,0,0,1,0,0,0
50,34,0,0,1,0,0,0,0,0
65,60,0,0,1,0,0,0,0,0
40,30,1,0,0,0,0,0,0,0
40,40,0,0,0,0,1,0,0,0
40,36,1,0,0,0,0,0,0,0
50,42,0,0,1,0,0,0,0,1
40,42,0,0,0,0,0,0,1,1
45,54,0,0,1,0,0,0,0,1
45,66,0,0,1,0,0,0,0,1
40,30,0,0,1,0,0,0,0,0
12,78,0,0,0,0,0,0,1,0
40,51,0,0,1,0,0,0,0,0
40,53,0,0,1,0,0,0,0,0
40,27,0,0,0,0,1,0,0,0
40,20,0,0,0,0,1,0,0,0
30,32,1,0,0,0,0,0,0,0
40,50,1,0,0,0,0,0,0,1
45,44,0,0,1,0,0,0,0,1
35,17,0,0,0,0,1,0,0,0
50,53,0,0,1,0,0,0,0,1
26,29,0,0,0,0,1,0,0,0
40,41,1,0,0,0,0,0,0,0
60,37,0,0,0,0,1,0,0,1
25,50,0,0,0,0,1,0,0,0
